feature,sel_freq,mean_abs_coef,coef_at_Cstar,is_flag,cohens_d,t_p_fdr,mw_p_fdr,univariate_rank
S045,0.0,0.0,0.0,False,0.11819281816684839,0.7174293155084572,0.7127739066519566,190.0
S046,0.0,0.0,0.0,False,0.12847889046077973,0.6536616820557524,0.6565890307536927,168.0
S047,0.0,0.0,0.0,False,0.06667601969341581,0.8185806208972929,0.9589431191073129,279.0
S048,0.0,0.0,0.0,False,-0.10590688916685029,0.7174293155084572,0.6100156141050325,216.33333333333334
S051,0.0,0.0,0.0,False,0.00766588407153006,0.9853458227156996,0.9594017219140961,419.0
S054,0.0,0.0,0.0,False,-0.10067125123992238,0.7174293155084572,0.7819970686024711,225.0
S055,0.0,0.0,0.0,False,0.12496443333358667,0.7174293155084572,0.8859470103097058,184.66666666666666
S056,0.0,0.0,0.0,False,0.11282913686153838,0.7161811368821839,0.5599548330632926,195.33333333333334
S057,0.0,0.0,0.0,False,0.01075719724543493,0.9784655966116022,0.9621108787713828,413.3333333333333
S060,0.0,0.0,0.0,False,0.09865020362823435,0.7174293155084572,0.853976659389315,229.66666666666666
S061,0.0,0.0,0.0,False,0.02183629521021407,0.9697562830655044,0.9621108787713828,386.6666666666667
S062,0.0,0.0,0.0,False,-0.051842987203765165,0.9179959505019263,0.9621108787713828,320.6666666666667
S065,0.0,0.0,0.0,False,0.3483334366094229,0.2396700797368059,0.5574193096729715,42.333333333333336
S066,0.0,0.0,0.0,False,-0.021341707723510774,0.9692496673478536,0.9981297878796539,386.3333333333333
S068,0.0,0.0,0.0,False,-0.05060333480496989,0.9024852209886927,0.8965693580809547,315.3333333333333
S070,0.0,0.0,0.0,False,-0.020720605682697065,0.9692496673478536,0.9997549396282154,388.3333333333333
S072,0.0,0.0,0.0,False,0.0314519521596811,0.9510484563645186,0.9621108787713828,358.6666666666667
S073,0.0,0.0,0.0,False,-0.02653468178225305,0.9078261069381366,0.9953315404098076,355.6666666666667
S075,0.0,0.0,0.0,False,-0.08462771594081252,0.7488350643934419,0.8852436974681609,252.66666666666666
S076,0.0,0.0,0.0,False,-0.19175771927901544,0.36353941131455225,0.37452497295767595,97.0
S078,0.0,0.0,0.0,False,-0.2845069427333012,0.10513026971897535,0.1074112547053511,40.666666666666664
S079,0.0,0.0,0.0,False,0.374888977542196,0.04812325596080355,0.015133984711733333,21.666666666666668
S080,0.0,0.0,0.0,False,-0.13069851688390768,0.7161811368821839,0.7537539708886227,172.66666666666666
S083,0.0,0.0,0.0,False,-0.059760985762859146,0.8617747838003998,0.9589431191073129,294.3333333333333
S084,0.0,0.0,0.0,False,-0.04434080666014693,0.9024852209886927,0.9621108787713828,328.6666666666667
S087,0.0,0.0,0.0,False,-0.020083905786348343,0.9692496673478536,0.9621108787713828,387.3333333333333
S091,0.0,0.0,0.0,False,0.07173013055523791,0.7710574402653289,0.5130939076343931,269.0
S092,0.0,0.0,0.0,False,-0.03997312662423039,0.9179959505019263,0.9229717341677359,337.6666666666667
S093,0.0,0.0,0.0,False,0.18579425189998694,0.31772051259247047,0.6472152464584333,101.0
S094,0.0,0.0,0.0,False,-0.037281942935937784,0.9179959505019263,0.9234909642878835,341.3333333333333
S096,0.0,0.0,0.0,False,-0.004965398098961777,0.9853458227156996,0.9621108787713828,425.3333333333333
